,Var1,Var2,value
1002,GHCA,GHCA,1
8100,GHDCA,GHDCA,1
1184,GLCA,GLCA,1
3641,GUDCA,GUDCA,1
3004,HCA,HCA,1
3459,HDCA,HDCA,1
2913,Heptanoic.Acid,Heptanoic.Acid,1
4642,Isobutyric.Acid,Isobutyric.Acid,1
5461,Isoleucine,Isoleucine,1
1275,Isovaleric.Acid,Isovaleric.Acid,1
7190,Kidmed,Kidmed,1
2003,LCA,LCA,1
3368,LCA.S,LCA.S,1
2549,Leucine,Leucine,1
2094,longum.infantis,longum.infantis,1
4915,longum.longum,longum.longum,1
3732,longum.suillum,longum.suillum,1
6098,MacroNutrientsCalculation.TotalAlcoholIntakeG,MacroNutrientsCalculation.TotalAlcoholIntakeG,1
6644,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,1
6735,MacroNutrientsCalculation.TotalFatIntakeG,MacroNutrientsCalculation.TotalFatIntakeG,1
5552,MacroNutrientsCalculation.TotalProteinIntakeG,MacroNutrientsCalculation.TotalProteinIntakeG,1
7372,MCA,MCA,1
5916,Methylbutyric.Acid,Methylbutyric.Acid,1
6189,PercentualTotalEnergyIntake.Alcohol,PercentualTotalEnergyIntake.Alcohol,1
4733,PercentualTotalEnergyIntake.Carbohydrate,PercentualTotalEnergyIntake.Carbohydrate,1
4824,PercentualTotalEnergyIntake.Fat,PercentualTotalEnergyIntake.Fat,1
5643,PercentualTotalEnergyIntake.Protein,PercentualTotalEnergyIntake.Protein,1
92,Propionic.Acid,Propionic.Acid,1
4005,pseudocatenulatum,pseudocatenulatum,1
4460,TaMCA,TaMCA,1
1730,TCA,TCA,1
4551,TCDCA,TCDCA,1
7918,TDCA,TDCA,1
4187,TDHCA,TDHCA,1
3277,THCA,THCA,1
3186,THDCA,THDCA,1
2731,TLCA,TLCA,1
911,TUDCA,TUDCA,1
1912,UDCA,UDCA,1
2458,UDCA.3OH.S,UDCA.3OH.S,1
4278,Valeric.Acid,Valeric.Acid,1
3095,Valine,Valine,1
6188,MacroNutrientsCalculation.TotalAlcoholIntakeG,PercentualTotalEnergyIntake.Alcohol,0.96
6099,PercentualTotalEnergyIntake.Alcohol,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.96
6097,FoodGroupIntakeScore.Sweeteners,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.93
6008,MacroNutrientsCalculation.TotalAlcoholIntakeG,FoodGroupIntakeScore.Sweeteners,0.93
6370,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.VegetableOils,0.92
6281,FoodGroupIntakeScore.VegetableOils,FoodGroupIntakeScore...liveOil,0.92
6187,FoodGroupIntakeScore.Sweeteners,PercentualTotalEnergyIntake.Alcohol,0.91
6009,PercentualTotalEnergyIntake.Alcohol,FoodGroupIntakeScore.Sweeteners,0.91
5642,MacroNutrientsCalculation.TotalProteinIntakeG,PercentualTotalEnergyIntake.Protein,0.88
5553,PercentualTotalEnergyIntake.Protein,MacroNutrientsCalculation.TotalProteinIntakeG,0.88
6734,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,MacroNutrientsCalculation.TotalFatIntakeG,0.75
6645,MacroNutrientsCalculation.TotalFatIntakeG,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.75
6733,FoodGroupIntakeScore.Sweets,MacroNutrientsCalculation.TotalFatIntakeG,0.74
6555,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.Sweets,0.74
4823,PercentualTotalEnergyIntake.Carbohydrate,PercentualTotalEnergyIntake.Fat,0.72
4734,PercentualTotalEnergyIntake.Fat,PercentualTotalEnergyIntake.Carbohydrate,0.72
7553,FoodGroupIntakeScore.RegularSoftDrinks,FoodGroupIntakeScore.TotalSoftDrinks,0.71
7464,FoodGroupIntakeScore.TotalSoftDrinks,FoodGroupIntakeScore.RegularSoftDrinks,0.71
6643,FoodGroupIntakeScore.Sweets,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.7
6554,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.Sweets,0.7
6642,FoodGroupIntakeScore.RefinedCereals,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.69
5563,FoodGroupIntakeScore.Sweets,MacroNutrientsCalculation.TotalProteinIntakeG,0.69
6464,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.RefinedCereals,0.69
6542,MacroNutrientsCalculation.TotalProteinIntakeG,FoodGroupIntakeScore.Sweets,0.69
6827,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.RedMeatAndProducts,0.67
6916,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.ColdCuts,0.67
6646,FoodGroupIntakeScore.RedMeatAndProducts,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.66
6824,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.RedMeatAndProducts,0.66
6730,FoodGroupIntakeScore...liveOil,MacroNutrientsCalculation.TotalFatIntakeG,0.64
6285,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore...liveOil,0.64
6466,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.RefinedCereals,0.62
6736,FoodGroupIntakeScore.RedMeatAndProducts,MacroNutrientsCalculation.TotalFatIntakeG,0.62
6822,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.RedMeatAndProducts,0.62
6825,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.RedMeatAndProducts,0.62
6731,FoodGroupIntakeScore.VegetableOils,MacroNutrientsCalculation.TotalFatIntakeG,0.6
6375,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.VegetableOils,0.6
4004,adolescentis,pseudocatenulatum,0.59
3915,pseudocatenulatum,adolescentis,0.59
6732,FoodGroupIntakeScore.RefinedCereals,MacroNutrientsCalculation.TotalFatIntakeG,0.57
6465,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.RefinedCereals,0.57
5565,MacroNutrientsCalculation.TotalFatIntakeG,MacroNutrientsCalculation.TotalProteinIntakeG,0.55
6722,MacroNutrientsCalculation.TotalProteinIntakeG,MacroNutrientsCalculation.TotalFatIntakeG,0.55
7191,FoodGroupIntakeScore.Fish,Kidmed,0.52
4932,FoodGroupIntakeScore.RefinedCereals,longum.longum,0.52
7280,Kidmed,FoodGroupIntakeScore.Fish,0.52
6445,longum.longum,FoodGroupIntakeScore.RefinedCereals,0.52
7101,FoodGroupIntakeScore.Fish,FoodGroupIntakeScore.Fruits,0.5
7011,FoodGroupIntakeScore.Fish,FoodGroupIntakeScore.Vegetables,0.5
7279,FoodGroupIntakeScore.Fruits,FoodGroupIntakeScore.Fish,0.5
7278,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.Fish,0.5
5564,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,MacroNutrientsCalculation.TotalProteinIntakeG,0.49
6632,MacroNutrientsCalculation.TotalProteinIntakeG,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.49
7557,FoodGroupIntakeScore.DietSoftDrinks,FoodGroupIntakeScore.TotalSoftDrinks,0.48
6556,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.Sweets,0.48
6367,FoodGroupIntakeScore.Sweeteners,FoodGroupIntakeScore.VegetableOils,0.48
6823,FoodGroupIntakeScore.Sweets,FoodGroupIntakeScore.RedMeatAndProducts,0.48
7824,FoodGroupIntakeScore.TotalSoftDrinks,FoodGroupIntakeScore.DietSoftDrinks,0.48
6011,FoodGroupIntakeScore.VegetableOils,FoodGroupIntakeScore.Sweeteners,0.48
6460,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.RefinedCereals,0.47
7009,FoodGroupIntakeScore.Fruits,FoodGroupIntakeScore.Vegetables,0.47
6282,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore...liveOil,0.47
7098,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.Fruits,0.47
6647,FoodGroupIntakeScore.ColdCuts,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.46
6446,FoodGroupIntakeScore.FullFatDairyProducts,FoodGroupIntakeScore.RefinedCereals,0.46
5022,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.FullFatDairyProducts,0.46
5653,FoodGroupIntakeScore.Sweets,PercentualTotalEnergyIntake.Protein,0.46
6914,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.ColdCuts,0.46
6543,PercentualTotalEnergyIntake.Protein,FoodGroupIntakeScore.Sweets,0.46
6737,FoodGroupIntakeScore.ColdCuts,MacroNutrientsCalculation.TotalFatIntakeG,0.45
4916,FoodGroupIntakeScore.FullFatDairyProducts,longum.longum,0.45
6372,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.VegetableOils,0.45
6461,FoodGroupIntakeScore.VegetableOils,FoodGroupIntakeScore.RefinedCereals,0.45
5005,longum.longum,FoodGroupIntakeScore.FullFatDairyProducts,0.45
6915,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.ColdCuts,0.45
7917,FoodGroupIntakeScore.DietSoftDrinks,TDCA,0.44
7189,FoodGroupIntakeScore.Fruits,Kidmed,0.44
6101,FoodGroupIntakeScore.VegetableOils,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.44
7100,Kidmed,FoodGroupIntakeScore.Fruits,0.44
6368,MacroNutrientsCalculation.TotalAlcoholIntakeG,FoodGroupIntakeScore.VegetableOils,0.44
7828,TDCA,FoodGroupIntakeScore.DietSoftDrinks,0.44
6625,longum.longum,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.43
4934,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,longum.longum,0.43
7373,FoodGroupIntakeScore.RegularSoftDrinks,MCA,0.42
7374,FoodGroupIntakeScore.TotalSoftDrinks,MCA,0.42
7462,MCA,FoodGroupIntakeScore.RegularSoftDrinks,0.42
7552,MCA,FoodGroupIntakeScore.TotalSoftDrinks,0.42
6010,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.Sweeteners,0.41
7007,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.Vegetables,0.41
6376,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.VegetableOils,0.41
6277,FoodGroupIntakeScore.Sweeteners,FoodGroupIntakeScore...liveOil,0.41
6821,FoodGroupIntakeScore.VegetableOils,FoodGroupIntakeScore.RedMeatAndProducts,0.41
6191,FoodGroupIntakeScore.VegetableOils,PercentualTotalEnergyIntake.Alcohol,0.41
6918,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.ColdCuts,0.41
6369,PercentualTotalEnergyIntake.Alcohol,FoodGroupIntakeScore.VegetableOils,0.41
7457,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.RegularSoftDrinks,0.4
6716,FoodGroupIntakeScore.FullFatDairyProducts,MacroNutrientsCalculation.TotalFatIntakeG,0.4
6923,FoodGroupIntakeScore.RegularSoftDrinks,FoodGroupIntakeScore.ColdCuts,0.4
7188,FoodGroupIntakeScore.Vegetables,Kidmed,0.4
7010,Kidmed,FoodGroupIntakeScore.Vegetables,0.4
5025,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.FullFatDairyProducts,0.4
6820,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.RedMeatAndProducts,0.39
7825,FoodGroupIntakeScore.Alcohol,FoodGroupIntakeScore.DietSoftDrinks,0.39
6557,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.Sweets,0.39
7647,FoodGroupIntakeScore.DietSoftDrinks,FoodGroupIntakeScore.Alcohol,0.39
7737,FoodGroupIntakeScore.DietSoftDrinks,FoodGroupIntakeScore.Sauces,0.39
5735,FoodGroupIntakeScore.FruitJuices,FoodGroupIntakeScore.SaltySnacks,0.39
6286,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore...liveOil,0.39
6653,FoodGroupIntakeScore.RegularSoftDrinks,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.39
5824,FoodGroupIntakeScore.SaltySnacks,FoodGroupIntakeScore.FruitJuices,0.39
7826,FoodGroupIntakeScore.Sauces,FoodGroupIntakeScore.DietSoftDrinks,0.39
6913,FoodGroupIntakeScore.Sweets,FoodGroupIntakeScore.ColdCuts,0.39
7454,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.RegularSoftDrinks,0.39
8099,CDCA,GHDCA,0.38
6100,FoodGroupIntakeScore...liveOil,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.38
6190,FoodGroupIntakeScore...liveOil,PercentualTotalEnergyIntake.Alcohol,0.38
6626,FoodGroupIntakeScore.FullFatDairyProducts,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.38
7006,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.Vegetables,0.38
7452,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.RegularSoftDrinks,0.38
6473,FoodGroupIntakeScore.RegularSoftDrinks,FoodGroupIntakeScore.RefinedCereals,0.38
1794,FoodGroupIntakeScore.TotalSoftDrinks,TCA,0.38
6828,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.RedMeatAndProducts,0.38
8010,GHDCA,CDCA,0.38
6278,MacroNutrientsCalculation.TotalAlcoholIntakeG,FoodGroupIntakeScore...liveOil,0.38
5024,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.FullFatDairyProducts,0.38
6279,PercentualTotalEnergyIntake.Alcohol,FoodGroupIntakeScore...liveOil,0.38
7490,TCA,FoodGroupIntakeScore.TotalSoftDrinks,0.38
7002,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.Vegetables,0.37
6468,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.RefinedCereals,0.37
6721,Isoleucine,MacroNutrientsCalculation.TotalFatIntakeG,0.37
1914,longum.infantis,UDCA,0.37
5475,MacroNutrientsCalculation.TotalFatIntakeG,Isoleucine,0.37
2092,UDCA,longum.infantis,0.37
6467,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.RefinedCereals,0.36
7547,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.TotalSoftDrinks,0.36
5915,FoodGroupIntakeScore.FruitJuices,Methylbutyric.Acid,0.36
6912,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.ColdCuts,0.36
1793,FoodGroupIntakeScore.RegularSoftDrinks,TCA,0.36
6924,FoodGroupIntakeScore.TotalSoftDrinks,FoodGroupIntakeScore.ColdCuts,0.36
6738,FoodGroupIntakeScore.Vegetables,MacroNutrientsCalculation.TotalFatIntakeG,0.36
7005,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.Vegetables,0.36
5826,Methylbutyric.Acid,FoodGroupIntakeScore.FruitJuices,0.36
7400,TCA,FoodGroupIntakeScore.RegularSoftDrinks,0.36
7384,CA,FoodGroupIntakeScore.RegularSoftDrinks,0.35
4681,DHCA,PercentualTotalEnergyIntake.Carbohydrate,0.35
2959,FoodGroupIntakeScore.Fruits,Heptanoic.Acid,0.35
6079,FoodGroupIntakeScore.Olives,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.35
3388,FoodGroupIntakeScore.Potatoes,LCA.S,0.35
4572,FoodGroupIntakeScore.RefinedCereals,TCDCA,0.35
353,FoodGroupIntakeScore.RegularSoftDrinks,CA,0.35
7053,Heptanoic.Acid,FoodGroupIntakeScore.Fruits,0.35
5168,LCA.S,FoodGroupIntakeScore.Potatoes,0.35
4735,longum.longum,PercentualTotalEnergyIntake.Carbohydrate,0.35
4388,MacroNutrientsCalculation.TotalAlcoholIntakeG,FoodGroupIntakeScore.Olives,0.35
53,PercentualTotalEnergyIntake.Carbohydrate,DHCA,0.35
4913,PercentualTotalEnergyIntake.Carbohydrate,longum.longum,0.35
6441,TCDCA,FoodGroupIntakeScore.RefinedCereals,0.35
7117,Acetic.Acid,Kidmed,0.34
7456,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.RegularSoftDrinks,0.34
6552,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.Sweets,0.34
6833,FoodGroupIntakeScore.RegularSoftDrinks,FoodGroupIntakeScore.RedMeatAndProducts,0.34
6463,FoodGroupIntakeScore.Sweets,FoodGroupIntakeScore.RefinedCereals,0.34
620,Kidmed,Acetic.Acid,0.34
6649,FoodGroupIntakeScore.Fruits,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.33
689,FoodGroupIntakeScore.Legumes,FoodGroupIntakeScore.LowFatDairyProducts,0.33
5228,FoodGroupIntakeScore.LowFatDairyProducts,FoodGroupIntakeScore.Legumes,0.33
2730,FoodGroupIntakeScore.Nuts,TLCA,0.33
4279,FoodGroupIntakeScore.Olives,Valeric.Acid,0.33
1872,FoodGroupIntakeScore.RefinedCereals,GDHCA,0.33
6641,FoodGroupIntakeScore.VegetableOils,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.33
6411,GDHCA,FoodGroupIntakeScore.RefinedCereals,0.33
7094,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.Fruits,0.33
6374,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.VegetableOils,0.33
2641,TLCA,FoodGroupIntakeScore.Nuts,0.33
4368,Valeric.Acid,FoodGroupIntakeScore.Olives,0.33
5187,Butyric.Acid,FoodGroupIntakeScore.Potatoes,0.32
4003,CA.3OH.S,pseudocatenulatum,0.32
6829,FoodGroupIntakeScore.Fruits,FoodGroupIntakeScore.RedMeatAndProducts,0.32
6739,FoodGroupIntakeScore.Fruits,MacroNutrientsCalculation.TotalFatIntakeG,0.32
4309,FoodGroupIntakeScore.Fruits,Valeric.Acid,0.32
5098,FoodGroupIntakeScore.Potatoes,Butyric.Acid,0.32
7096,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.Fruits,0.32
5566,FoodGroupIntakeScore.RedMeatAndProducts,MacroNutrientsCalculation.TotalProteinIntakeG,0.32
4943,FoodGroupIntakeScore.RegularSoftDrinks,longum.longum,0.32
5914,FoodGroupIntakeScore.SaltySnacks,Methylbutyric.Acid,0.32
6648,FoodGroupIntakeScore.Vegetables,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.32
3369,HDCA,LCA.S,0.32
5551,Isoleucine,MacroNutrientsCalculation.TotalProteinIntakeG,0.32
4883,LCA,longum.longum,0.32
3458,LCA.S,HDCA,0.32
7435,longum.longum,FoodGroupIntakeScore.RegularSoftDrinks,0.32
2035,longum.longum,LCA,0.32
4825,longum.longum,PercentualTotalEnergyIntake.Fat,0.32
7004,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.Vegetables,0.32
7095,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.Fruits,0.32
6812,MacroNutrientsCalculation.TotalProteinIntakeG,FoodGroupIntakeScore.RedMeatAndProducts,0.32
5462,MacroNutrientsCalculation.TotalProteinIntakeG,Isoleucine,0.32
5736,Methylbutyric.Acid,FoodGroupIntakeScore.SaltySnacks,0.32
4914,PercentualTotalEnergyIntake.Fat,longum.longum,0.32
3825,pseudocatenulatum,CA.3OH.S,0.32
7068,Valeric.Acid,FoodGroupIntakeScore.Fruits,0.32
1729,bifidum,TCA,0.31
3961,DHCA,pseudocatenulatum,0.31
6640,FoodGroupIntakeScore...liveOil,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.31
5460,FoodGroupIntakeScore.Poultry,Isoleucine,0.31
3731,GUDCA,longum.suillum,0.31
4001,GUDCA,pseudocatenulatum,0.31
5371,Isoleucine,FoodGroupIntakeScore.Poultry,0.31
3642,longum.suillum,GUDCA,0.31
4002,longum.suillum,pseudocatenulatum,0.31
6284,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore...liveOil,0.31
45,pseudocatenulatum,DHCA,0.31
3645,pseudocatenulatum,GUDCA,0.31
3735,pseudocatenulatum,longum.suillum,0.31
1640,TCA,bifidum,0.31
2744,adolescentis,TLCA,0.3
6749,CDCA,MacroNutrientsCalculation.TotalFatIntakeG,0.3
7187,FoodGroupIntakeScore.ColdCuts,Kidmed,0.3
6741,FoodGroupIntakeScore.Fish,MacroNutrientsCalculation.TotalFatIntakeG,0.3
6810,FoodGroupIntakeScore.Poultry,FoodGroupIntakeScore.RedMeatAndProducts,0.3
5386,FoodGroupIntakeScore.RedMeatAndProducts,FoodGroupIntakeScore.Poultry,0.3
4933,FoodGroupIntakeScore.Sweets,longum.longum,0.3
6920,Kidmed,FoodGroupIntakeScore.ColdCuts,0.3
6535,longum.longum,FoodGroupIntakeScore.Sweets,0.3
6715,longum.longum,MacroNutrientsCalculation.TotalFatIntakeG,0.3
7995,MacroNutrientsCalculation.TotalFatIntakeG,CDCA,0.3
7275,MacroNutrientsCalculation.TotalFatIntakeG,FoodGroupIntakeScore.Fish,0.3
4935,MacroNutrientsCalculation.TotalFatIntakeG,longum.longum,0.3
3122,MacroNutrientsCalculation.TotalProteinIntakeG,Valine,0.3
3901,TLCA,adolescentis,0.3
5525,Valine,MacroNutrientsCalculation.TotalProteinIntakeG,0.3
44,adolescentis,DHCA,0.29
3169,bifidum,THDCA,0.29
4006,Caproic.acid,pseudocatenulatum,0.29
6299,CDCA,FoodGroupIntakeScore...liveOil,0.29
4956,DCA,FoodGroupIntakeScore.FullFatDairyProducts,0.29
3871,DHCA,adolescentis,0.29
5221,DHCA,FoodGroupIntakeScore.Legumes,0.29
7990,FoodGroupIntakeScore...liveOil,CDCA,0.29
5305,FoodGroupIntakeScore.Alcohol,FoodGroupIntakeScore.Legumes,0.29
3155,FoodGroupIntakeScore.CoffeTea,THDCA,0.29
2147,FoodGroupIntakeScore.ColdCuts,longum.infantis,0.29
506,FoodGroupIntakeScore.FullFatDairyProducts,DCA,0.29
59,FoodGroupIntakeScore.Legumes,DHCA,0.29
7619,FoodGroupIntakeScore.Legumes,FoodGroupIntakeScore.Alcohol,0.29
7709,FoodGroupIntakeScore.Legumes,FoodGroupIntakeScore.Sauces,0.29
6169,FoodGroupIntakeScore.Olives,PercentualTotalEnergyIntake.Alcohol,0.29
5728,FoodGroupIntakeScore.Potatoes,FoodGroupIntakeScore.SaltySnacks,0.29
4583,FoodGroupIntakeScore.RegularSoftDrinks,TCDCA,0.29
5194,FoodGroupIntakeScore.SaltySnacks,FoodGroupIntakeScore.Potatoes,0.29
5306,FoodGroupIntakeScore.Sauces,FoodGroupIntakeScore.Legumes,0.29
2953,FoodGroupIntakeScore.Sweets,Heptanoic.Acid,0.29
3133,FoodGroupIntakeScore.Sweets,Valine,0.29
4701,GDHCA,PercentualTotalEnergyIntake.Carbohydrate,0.29
6513,Heptanoic.Acid,FoodGroupIntakeScore.Sweets,0.29
6864,longum.infantis,FoodGroupIntakeScore.ColdCuts,0.29
4389,PercentualTotalEnergyIntake.Alcohol,FoodGroupIntakeScore.Olives,0.29
1853,PercentualTotalEnergyIntake.Carbohydrate,GDHCA,0.29
4095,pseudocatenulatum,Caproic.acid,0.29
7431,TCDCA,FoodGroupIntakeScore.RegularSoftDrinks,0.29
1656,THDCA,bifidum,0.29
396,THDCA,FoodGroupIntakeScore.CoffeTea,0.29
6515,Valine,FoodGroupIntakeScore.Sweets,0.29
273,bMCA,CA,0.28
4773,bMCA,PercentualTotalEnergyIntake.Fat,0.28
184,CA,bMCA,0.28
7474,CA,FoodGroupIntakeScore.TotalSoftDrinks,0.28
6659,CDCA,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.28
6520,DCA.3OH.S,FoodGroupIntakeScore.Sweets,0.28
7450,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.RegularSoftDrinks,0.28
7000,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.Vegetables,0.28
7097,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.Fruits,0.28
5307,FoodGroupIntakeScore.DietSoftDrinks,FoodGroupIntakeScore.Legumes,0.28
